IND_CH_HVC;0.83;75.77;24.23
IND_CH_BTX;0.83;75.77;24.23
IND_CH_OLF;0.83;75.77;24.23
IND_CH_MTH;1.13;69.02;30.98
IND_CH_AMM;1.05;81.5;18.5
IND_CH_CHL;0.83;81.5;18.5
IND_NM_CMT;1.09;73.93;26.07
IND_NM_CLK;1.09;73.93;26.07
IND_NM_LIM;1.09;73.93;26.07
IND_NM_CRM;1.09;73.93;26.07
IND_NM_GLS;0.65;73.93;26.07
IND_PP_PAP;1.125;75.17;24.83
IND_NF_AMN;0.82;71.2;28.8
IND_NF_ALU;0.82;71.2;28.8
IND_NF_ZNC;1.18;71.2;28.8
IND_NF_COP;1.12;71.2;28.8
IND_IS_BOF;1.34;61.54;38.46
IND_IS_EAF;1.34;61.54;38.46
TRA_AVI_DOM;0.78;56.5;43.5
TRA_AVI_INT;0.78;56.5;43.5
TRA_NAV_DOM;0.845;50.51;49.49
TRA_NAV_INT;0.845;50.51;49.49
TRA_ROA_BUS;0.905;50.51;49.49
TRA_ROA_LCV;0.905;50.51;49.49
TRA_ROA_HTR;0.905;50.51;49.49
TRA_ROA_MTR;0.905;50.51;49.49
TRA_ROA_CAR;1.61;38.03;61.97
TRA_ROA_2WH;0.92;38.03;61.97
TRA_RAIL_PSG;0.745;36.69;63.31
TRA_RAIL_FRG;0.745;36.69;63.31
